mot;origine
sein;de
haben;de
werden;de
konnen;de
mussen;de
sagen;de
machen;de
geben;de
kommen;de
sollen;de
wollen;de
gehen;de
wissen;de
sehen;de
lassen;de
stehen;de
finden;de
bleiben;de
liegen;de
heissen;de
denken;de
nehmen;de
tun;de
durfen;de
glauben;de
halten;de
nennen;de
mogen;de
zeigen;de
fuhren;de
sprechen;de
bringen;de
leben;de
fahren;de
meinen;de
fragen;de
kennen;de
gelten;de
stellen;de
spielen;de
arbeiten;de
brauchen;de
folgen;de
lernen;de
bestehen;de
verstehen;de
setzen;de
bekommen;de
beginnen;de
erzahlen;de
versuchen;de
schreiben;de
laufen;de
erklaren;de
entsprechen;de
sitzen;de
ziehen;de
scheinen;de
fallen;de
gehoren;de
entstehen;de
erhalten;de
treffen;de
suchen;de
legen;de
vorstellen;de
handeln;de
erreichen;de
tragen;de
schaffen;de
lesen;de
verlieren;de
darstellen;de
erkennen;de
entwickeln;de
reden;de
aussehen;de
erscheinen;de
bilden;de
anfangen;de
erwarten;de
wohnen;de
betreffen;de
warten;de
vergehen;de
helfen;de
gewinnen;de
schließen;de
fühlen;de
bieten;de
interessieren;de
erinnern;de
ergeben;de
anbieten;de
studieren;de
verbinden;de
ansehen;de
fehlen;de
bedeuten;de
vergleichen;de
acheter;fr
aider;fr
aimer;fr
aller;fr
apporter;fr
apprendre;fr
arrêter;fr
arriver;fr
attendre;fr
boire;fr
changer;fr
choisir;fr
commencer;fr
comprendre;fr
continuer;fr
coucher;fr
couper;fr
couter;fr
croire;fr
connaître;fr
courir;fr
decider;fr
decrire;fr
monter;fr
mourir;fr
nager;fr
naitre;fr
neiger;fr
nettoyer;fr
obeir;fr
obtenir;fr
oublier;fr
ouvrir;fr
pardonner;fr
parler;fr
partir;fr
passer;fr
payer;fr
penser;fr
perdre;fr
pleurer;fr
porter;fr
pouvoir;fr
preferer;fr
prendre;fr
preparer;fr
decrire;fr
demander;fr
depecher;fr
descendre;fr
devenir;fr
devoir;fr
dire;fr
donner;fr
dormir;fr
ecouter;fr
ecrire;fr
effacer;fr
entendre;fr
entrer;fr
envoyer;fr
essayer;fr
faire;fr
fermer;fr
finir;fr
gagner;fr
inquieter;fr
inviter;fr
jouer;fr
laver;fr
lever;fr
lire;fr
manger;fr
mettre;fr
promener;fr
quitter;fr
raconter;fr
reflechir;fr
regarder;fr
remplir;fr
repeter;fr
repondre;fr
reposer;fr
rester;fr
retourner;fr
reussir;fr
reveiller;fr
savoir;fr
sortir;fr
suivre;fr
terminer;fr
tomber;fr
travailler;fr
trouver;fr
utiliser;fr
vendre;fr
venir;fr
visiter;fr
voir;fr
vouloir;fr
