NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;2003-08-01 00:00:00;1009.3;1018.3;20;5.5;26.1;14.9;16.3;60;3;289;29;31;31;31;31;31;13;9;2;0;;;3;2;0;;;;;;18;0;0;0;0;5;28.2;2003-08-10 00:00:00;14;2003-08-31 00:00:00;37.3;2003-08-10 00:00:00;9.6;2003-08-31 00:00:00;34.4;2003-08-28 00:00:00;13;2003-08-15 00:00:00;2;0;6;18
07015;2003-08-01 00:00:00;1012.6;1018;20.8;5.6;26.6;15.5;15.8;42;3;251;28;31;31;31;31;31;16;9;3;0;;;2;1;0;;;;;;15;0;0;0;0;3;28;2003-08-06 00:00:00;14.3;2003-08-31 00:00:00;36.6;2003-08-10 00:00:00;9.6;2003-08-31 00:00:00;31;2003-08-28 00:00:00;14;2003-08-29 00:00:00;1;0;6;18
07020;2003-08-01 00:00:00;1016.8;1018.4;18.5;2;21.4;16.4;18.2;17;2;;26;31;31;31;31;0;3;0;;;;;2;;;;;;;;20;1;0;0;2;4;21.5;2003-08-10 00:00:00;15.6;2003-08-29 00:00:00;28;2003-08-09 00:00:00;13.8;2003-08-03 00:00:00;9.6;2003-08-29 00:00:00;25;2003-08-25 00:00:00;;;6;18
07027;2003-08-01 00:00:00;1010.1;1018;20.4;5.5;26.7;14.9;16.6;24;3;260;31;31;31;31;31;31;18;6;5;0;;;2;1;0;;;;;;11;0;0;0;1;5;29.5;2003-08-05 00:00:00;14.3;2003-08-30 00:00:00;38.9;2003-08-05 00:00:00;8.9;2003-08-21 00:00:00;16.4;2003-08-28 00:00:00;15;2003-08-24 00:00:00;1;0;6;18
07037;2003-08-01 00:00:00;1000.3;1017.9;20.9;6.1;27.6;15.1;16.2;13;2;269;21;31;31;31;31;31;19;10;5;0;;;1;;;;;;;;14;0;0;0;0;6;29.3;2003-08-11 00:00:00;13.7;2003-08-30 00:00:00;38.1;2003-08-11 00:00:00;8.1;2003-08-21 00:00:00;9.2;2003-08-29 00:00:00;13;2003-08-10 00:00:00;;;6;18
07110;2003-08-01 00:00:00;1006.8;1018;18.8;4.5;24.6;14.5;17.8;14;2;231;31;31;31;31;31;31;12;3;1;0;;;1;;;;;;;;4;0;0;1;1;15;25.3;2003-08-09 00:00:00;13.4;2003-08-31 00:00:00;35.1;2003-08-09 00:00:00;7.3;2003-08-31 00:00:00;9.4;2003-08-25 00:00:00;11;2003-08-01 00:00:00;3;0;6;18
07117;2003-08-01 00:00:00;1011;1018.3;18.4;2.8;22.4;15.8;18.4;27;4;;7;31;31;31;31;0;4;1;;;;;2;1;0;;;;;;13;0;0;1;5;12;23.6;2003-08-09 00:00:00;14.6;2003-08-31 00:00:00;31;2003-08-09 00:00:00;12;2003-08-31 00:00:00;11.2;2003-08-30 00:00:00;15;2003-08-15 00:00:00;3;0;6;18
07130;2003-08-01 00:00:00;1012.3;1017.3;22.5;6;29.3;16.8;17.9;3;1;268;31;31;31;31;31;31;25;11;6;0;;;0;;;;;;;;12;0;0;0;0;2;30.6;2003-08-05 00:00:00;14.9;2003-08-31 00:00:00;39.5;2003-08-05 00:00:00;8.9;2003-08-31 00:00:00;3;2003-08-30 00:00:00;13;2003-08-29 00:00:00;1;0;6;18
07139;2003-08-01 00:00:00;1000.6;1017.3;22.1;6.5;29.6;15.1;16.4;5;2;296;30;31;31;31;31;31;28;12;8;0;;;0;;;;;;;;6;0;0;0;0;3;29;2003-08-10 00:00:00;14.2;2003-08-31 00:00:00;38.5;2003-08-10 00:00:00;5.8;2003-08-31 00:00:00;2.8;2003-08-28 00:00:00;15;2003-08-24 00:00:00;2;0;6;18
07149;2003-08-01 00:00:00;1006.7;1017;24.1;6.6;30.3;17.6;16.2;50;4;;28;30;31;30;31;0;27;14;9;1;;;2;2;0;;;;;;13;0;0;;;;32.2;2003-08-11 00:00:00;14.8;2003-08-31 00:00:00;40;2003-08-12 00:00:00;8.1;2003-08-31 00:00:00;30;2003-08-17 00:00:00;13;2003-08-13 00:00:00;3;0;6;18
